email,item_name,quantity
teamalpha@uw.edu,Hollyland Lark M2 Wireless Microphone System,1
teamalpha@uw.edu,Anker USB-C Hub 7-in-1,2
teamalpha@uw.edu,HDMI Cable 6ft,3
teamalpha@uw.edu,Logitech C920 HD Webcam,1
teambeta@uw.edu,Arduino Uno R3 Starter Kit,1
teambeta@uw.edu,Raspberry Pi 4 Model B 8GB,1
teambeta@uw.edu,Jumper Wire Set 120pcs,1
teambeta@uw.edu,Breadboard 830 Points,2
teambeta@uw.edu,USB-A to Micro USB Cable 3ft,4
teamgamma@uw.edu,GoPro HERO12 Black Action Camera,1
teamgamma@uw.edu,SanDisk 128GB microSD Card,2
teamgamma@uw.edu,Rode VideoMicro Compact Microphone,1
teamgamma@uw.edu,Tripod Mini Flexible,1
teamdelta@uw.edu,Soldering Iron Kit 60W,1
teamdelta@uw.edu,Heat Shrink Tubing Assortment,1
teamdelta@uw.edu,Multimeter Digital Auto-Ranging,1
teamdelta@uw.edu,3D Printer Filament PLA 1kg White,2
teamdelta@uw.edu,Safety Glasses Clear Lens,3
